ticket_id,customer_id,created_at,channel,language,subject,description,status,sla_breached
TKT-20045,C-43883,2026-07-08T19:32:00,in_app,fr,L'application plante,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,open,false
TKT-20046,C-46876,2026-06-17T14:01:00,phone,en,General question,Just reaching out — not urgent. Wanted to share some feedback on the recent update.,open,false
TKT-20047,C-42920,2026-07-01T10:50:00,email,en,Damaged on arrival,My order #76342 was supposed to arrive on 2026-07-20 but it's now 2 days late. Status still says 'in transit'.,solved,false
TKT-20048,C-13139,2026-07-13T17:07:00,chat,fr,Édition en masse du stock,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,open,false
TKT-20049,C-15314,2026-06-03T15:36:00,in_app,en,Add CSV export,Would love to see this added — it would save our team several hours per week. Happy to beta test.,pending,false
TKT-20050,C-30235,2026-07-15T20:03:00,phone,fr,Mauvais article livré,Ma commande #81827 devait arriver le 2026-07-20 mais a maintenant 5 jours de retard. Toujours 'en transit'.,pending,false
TKT-20051,C-38142,2026-06-03T09:06:00,phone,en,Wrong amount charged,I was charged 74 but my order total was 162. Please investigate and refund the difference.,open,false
TKT-20052,C-29235,2026-06-23T11:22:00,chat,en,Package delayed,My order #70545 was supposed to arrive on 2026-07-20 but it's now 5 days late. Status still says 'in transit'.,solved,false
TKT-20053,C-21750,2026-07-11T09:08:00,phone,fr,Erreur de recherche,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,solved,false
TKT-20054,C-29299,2026-06-10T16:39:00,phone,en,Package delayed,My order #71898 was supposed to arrive on 2026-07-20 but it's now 8 days late. Status still says 'in transit'.,open,false
TKT-20055,C-37912,2026-07-14T08:05:00,email,en,Delete my account,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20056,C-15215,2026-07-31T16:54:00,email,fr,Demande de partenariat,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,solved,false
TKT-20057,C-17732,2026-06-16T10:49:00,phone,en,Cannot reset password,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,open,false
TKT-20058,C-31636,2026-07-22T15:03:00,in_app,fr,Suivi bloqué,Ma commande #55980 devait arriver le 2026-07-20 mais a maintenant 7 jours de retard. Toujours 'en transit'.,pending,false
TKT-20059,C-47401,2026-07-26T19:25:00,email,en,Invoice not received,I was charged 357 but my order total was 21. Please investigate and refund the difference.,solved,false
TKT-20060,C-12702,2026-06-11T12:10:00,in_app,fr,Demande de remboursement,J'ai été facturé 24€ alors que le total était de 153€. Merci d'examiner et de rembourser.,open,false
TKT-20061,C-26329,2026-07-03T14:18:00,chat,en,Refund request,I was charged 84 but my order total was 249. Please investigate and refund the difference.,solved,true
TKT-20062,C-15426,2026-07-13T15:17:00,in_app,en,Press contact,Just reaching out — not urgent. Wanted to share some feedback on the recent update.,open,false
TKT-20063,C-18107,2026-07-12T09:25:00,phone,en,Wrong item delivered,My order #80616 was supposed to arrive on 2026-07-20 but it's now 4 days late. Status still says 'in transit'.,pending,false
TKT-20064,C-43001,2026-06-19T16:28:00,chat,en,Feedback,Just reaching out — not urgent. Wanted to share some feedback on the recent update.,open,false
TKT-20065,C-27422,2026-06-24T15:01:00,phone,fr,Fusionner des comptes,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20066,C-22468,2026-06-15T15:26:00,email,fr,Demande SSO,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,pending,false
TKT-20067,C-19554,2026-06-17T09:50:00,email,fr,Question générale,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,solved,false
TKT-20068,C-46828,2026-06-23T11:41:00,in_app,en,Subscription renewal issue,I was charged 252 but my order total was 124. Please investigate and refund the difference.,solved,true
TKT-20069,C-49775,2026-07-20T14:01:00,email,fr,Supprimer mon compte,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20070,C-19950,2026-06-10T18:16:00,chat,en,Cannot reset password,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,open,false
TKT-20071,C-25077,2026-06-11T10:15:00,in_app,en,Wrong amount charged,I was charged 337 but my order total was 234. Please investigate and refund the difference.,solved,false
TKT-20072,C-24320,2026-07-17T17:42:00,chat,en,Invoice not received,I was charged 383 but my order total was 295. Please investigate and refund the difference.,open,false
TKT-20073,C-34460,2026-07-04T13:34:00,chat,fr,Retour,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,open,false
TKT-20074,C-14829,2026-07-12T12:23:00,phone,fr,Colis en retard,Ma commande #94189 devait arriver le 2026-07-20 mais a maintenant 2 jours de retard. Toujours 'en transit'.,pending,false
TKT-20075,C-26370,2026-07-09T19:20:00,phone,en,Wrong amount charged,I was charged 197 but my order total was 154. Please investigate and refund the difference.,open,true
TKT-20076,C-11228,2026-06-17T15:18:00,phone,fr,Colis endommagé,Ma commande #60639 devait arriver le 2026-07-20 mais a maintenant 8 jours de retard. Toujours 'en transit'.,pending,false
TKT-20077,C-41713,2026-07-24T09:21:00,chat,en,Delete my account,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,open,false
TKT-20078,C-43417,2026-06-16T17:58:00,phone,en,SSO integration request,Would love to see this added — it would save our team several hours per week. Happy to beta test.,solved,false
TKT-20079,C-33707,2026-06-29T08:46:00,chat,fr,Colis en retard,Ma commande #76034 devait arriver le 2026-07-20 mais a maintenant 8 jours de retard. Toujours 'en transit'.,open,false
TKT-20080,C-20547,2026-07-29T08:21:00,email,fr,Demande de partenariat,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,pending,false
TKT-20081,C-38333,2026-07-20T08:25:00,chat,fr,Réinitialisation mot de passe,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20082,C-48651,2026-07-19T08:56:00,email,fr,Question générale,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,open,false
TKT-20083,C-39864,2026-07-11T19:37:00,email,en,Delete my account,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20084,C-24031,2026-07-03T15:03:00,phone,fr,Mauvais article livré,Ma commande #65544 devait arriver le 2026-07-20 mais a maintenant 4 jours de retard. Toujours 'en transit'.,open,false
TKT-20085,C-40891,2026-06-30T20:34:00,in_app,en,Delete my account,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20086,C-18554,2026-07-19T13:08:00,email,en,Subscription renewal issue,I was charged 325 but my order total was 264. Please investigate and refund the difference.,solved,false
TKT-20087,C-34773,2026-07-09T16:59:00,chat,fr,Facturation erronée,J'ai été facturé 232€ alors que le total était de 279€. Merci d'examiner et de rembourser.,solved,true
TKT-20088,C-40463,2026-06-23T19:13:00,in_app,fr,Fusionner des comptes,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,solved,false
TKT-20089,C-14330,2026-07-18T09:48:00,in_app,fr,Édition en masse du stock,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,open,false
TKT-20090,C-16366,2026-06-25T17:50:00,chat,en,Subscription renewal issue,I was charged 349 but my order total was 95. Please investigate and refund the difference.,pending,false
TKT-20091,C-40952,2026-07-14T16:12:00,email,fr,Demande SSO,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,open,false
TKT-20092,C-16258,2026-06-05T15:22:00,in_app,fr,Colis en retard,Ma commande #68334 devait arriver le 2026-07-20 mais a maintenant 9 jours de retard. Toujours 'en transit'.,pending,false
TKT-20093,C-16255,2026-07-04T12:46:00,phone,en,Merge two accounts,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20094,C-41207,2026-07-26T12:57:00,chat,en,General question,Just reaching out — not urgent. Wanted to share some feedback on the recent update.,solved,false
TKT-20095,C-44105,2026-07-21T12:03:00,chat,fr,Colis en retard,Ma commande #91214 devait arriver le 2026-07-20 mais a maintenant 4 jours de retard. Toujours 'en transit'.,pending,false
TKT-20096,C-13034,2026-06-22T15:51:00,phone,fr,Mode sombre svp,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,open,false
TKT-20097,C-41408,2026-06-04T20:09:00,in_app,fr,Retour,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,solved,false
TKT-20098,C-27485,2026-06-04T08:49:00,chat,en,App crashes on login,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,pending,false
TKT-20099,C-21385,2026-07-18T18:11:00,chat,fr,Demande SSO,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,open,false
TKT-20100,C-24336,2026-07-10T18:27:00,chat,en,Payment fails on mobile,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,solved,false
TKT-20101,C-44323,2026-07-13T08:32:00,in_app,en,Merge two accounts,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20102,C-22027,2026-08-01T18:37:00,in_app,fr,L'application plante,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,solved,true
TKT-20103,C-28699,2026-06-22T13:34:00,email,en,App crashes on login,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,pending,false
TKT-20104,C-29413,2026-07-28T14:26:00,phone,en,Cannot reset password,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20105,C-13032,2026-07-21T19:55:00,phone,en,Subscription renewal issue,I was charged 69 but my order total was 214. Please investigate and refund the difference.,pending,false
TKT-20106,C-41370,2026-07-29T10:42:00,in_app,en,Checkout button broken,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,open,false
TKT-20107,C-14805,2026-06-15T13:57:00,phone,fr,Fusionner des comptes,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20108,C-14605,2026-07-01T10:14:00,chat,en,Invoice not received,I was charged 93 but my order total was 49. Please investigate and refund the difference.,open,false
TKT-20109,C-10278,2026-07-11T12:59:00,phone,fr,Réinitialisation mot de passe,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20110,C-35758,2026-07-02T15:12:00,in_app,en,Tracking not updating,My order #51907 was supposed to arrive on 2026-07-20 but it's now 7 days late. Status still says 'in transit'.,open,false
TKT-20111,C-27802,2026-07-20T08:39:00,in_app,fr,Mauvais article livré,Ma commande #77810 devait arriver le 2026-07-20 mais a maintenant 4 jours de retard. Toujours 'en transit'.,solved,false
TKT-20112,C-42886,2026-07-24T11:36:00,in_app,fr,Colis en retard,Ma commande #83445 devait arriver le 2026-07-20 mais a maintenant 4 jours de retard. Toujours 'en transit'.,open,false
TKT-20113,C-41556,2026-07-08T19:21:00,in_app,en,Checkout button broken,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,solved,false
TKT-20114,C-13502,2026-07-23T16:06:00,in_app,fr,Problème d'abonnement,J'ai été facturé 104€ alors que le total était de 19€. Merci d'examiner et de rembourser.,solved,false
TKT-20115,C-26751,2026-06-14T09:59:00,in_app,fr,Facture non reçue,J'ai été facturé 189€ alors que le total était de 30€. Merci d'examiner et de rembourser.,pending,false
TKT-20116,C-10401,2026-07-08T15:49:00,in_app,en,SSO integration request,Would love to see this added — it would save our team several hours per week. Happy to beta test.,solved,false
TKT-20117,C-23053,2026-07-10T13:20:00,chat,fr,Contact presse,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,solved,false
TKT-20118,C-46416,2026-06-19T18:33:00,email,fr,Bouton de paiement cassé,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,pending,false
TKT-20119,C-25575,2026-06-18T08:36:00,chat,en,Checkout button broken,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,solved,false
TKT-20120,C-27642,2026-07-28T13:59:00,in_app,en,Wrong amount charged,I was charged 345 but my order total was 13. Please investigate and refund the difference.,solved,true
TKT-20121,C-49319,2026-06-24T15:05:00,email,fr,Bouton de paiement cassé,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,pending,false
TKT-20122,C-41428,2026-06-04T11:25:00,email,en,Subscription renewal issue,I was charged 376 but my order total was 264. Please investigate and refund the difference.,solved,true
TKT-20123,C-41056,2026-07-22T12:23:00,phone,fr,Demande SSO,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,solved,false
TKT-20124,C-49966,2026-07-16T09:45:00,chat,en,Partnership inquiry,Just reaching out — not urgent. Wanted to share some feedback on the recent update.,solved,false
TKT-20125,C-12359,2026-07-22T18:34:00,email,en,Two-factor auth problem,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,open,false
TKT-20126,C-38204,2026-06-16T14:34:00,email,fr,Problème d'abonnement,J'ai été facturé 78€ alors que le total était de 194€. Merci d'examiner et de rembourser.,solved,false
TKT-20127,C-33628,2026-07-12T08:17:00,phone,fr,Problème d'abonnement,J'ai été facturé 125€ alors que le total était de 144€. Merci d'examiner et de rembourser.,open,false
TKT-20128,C-48880,2026-07-16T13:47:00,phone,fr,Problème 2FA,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20129,C-45169,2026-06-13T18:41:00,in_app,en,Cannot reset password,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20130,C-12609,2026-07-11T14:48:00,email,fr,Réinitialisation mot de passe,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20131,C-13579,2026-07-11T10:32:00,in_app,fr,Problème d'abonnement,J'ai été facturé 107€ alors que le total était de 210€. Merci d'examiner et de rembourser.,pending,false
TKT-20132,C-43541,2026-07-30T16:23:00,email,fr,Problème 2FA,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20133,C-11907,2026-06-12T13:06:00,phone,en,Tracking not updating,My order #89502 was supposed to arrive on 2026-07-20 but it's now 9 days late. Status still says 'in transit'.,pending,false
TKT-20134,C-28371,2026-07-14T13:14:00,in_app,en,Refund request,I was charged 370 but my order total was 199. Please investigate and refund the difference.,open,false
TKT-20135,C-15241,2026-07-28T09:04:00,email,en,Tracking not updating,My order #69206 was supposed to arrive on 2026-07-20 but it's now 8 days late. Status still says 'in transit'.,solved,false
TKT-20136,C-28084,2026-07-31T19:15:00,email,fr,Colis endommagé,Ma commande #62107 devait arriver le 2026-07-20 mais a maintenant 4 jours de retard. Toujours 'en transit'.,open,false
TKT-20137,C-32885,2026-06-27T13:07:00,phone,en,Wrong item delivered,My order #89511 was supposed to arrive on 2026-07-20 but it's now 5 days late. Status still says 'in transit'.,open,false
TKT-20138,C-42302,2026-06-27T09:39:00,chat,fr,Colis endommagé,Ma commande #72892 devait arriver le 2026-07-20 mais a maintenant 8 jours de retard. Toujours 'en transit'.,pending,false
TKT-20139,C-32207,2026-07-15T18:46:00,phone,fr,Édition en masse du stock,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,solved,false
TKT-20140,C-43569,2026-06-06T11:08:00,phone,fr,Paiement échoue sur mobile,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,pending,false
TKT-20141,C-38537,2026-07-09T09:57:00,phone,en,Search returns error,When I click checkout the spinner spins forever and nothing happens on Chrome/Safari. Console shows a 500 error.,solved,true
TKT-20142,C-11575,2026-07-03T17:31:00,chat,fr,Facture non reçue,J'ai été facturé 303€ alors que le total était de 79€. Merci d'examiner et de rembourser.,solved,true
TKT-20143,C-22487,2026-07-10T08:05:00,phone,fr,Bouton de paiement cassé,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,open,false
TKT-20144,C-16657,2026-06-06T08:11:00,email,en,Tracking not updating,My order #85372 was supposed to arrive on 2026-07-20 but it's now 8 days late. Status still says 'in transit'.,solved,false
TKT-20145,C-44120,2026-07-12T14:55:00,chat,fr,Ajouter l'export CSV,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,open,false
TKT-20146,C-27256,2026-07-16T16:30:00,email,en,Add CSV export,Would love to see this added — it would save our team several hours per week. Happy to beta test.,pending,false
TKT-20147,C-44263,2026-07-16T16:47:00,email,fr,Réinitialisation mot de passe,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,solved,false
TKT-20148,C-28654,2026-07-20T14:50:00,phone,fr,Problème d'abonnement,J'ai été facturé 175€ alors que le total était de 260€. Merci d'examiner et de rembourser.,open,false
TKT-20149,C-20125,2026-07-29T12:29:00,in_app,fr,Fusionner des comptes,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,pending,false
TKT-20150,C-21636,2026-06-03T13:37:00,chat,fr,Contact presse,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,open,false
TKT-20151,C-11633,2026-07-28T11:45:00,phone,fr,Contact presse,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,pending,false
TKT-20152,C-15617,2026-06-05T11:16:00,chat,en,Partnership inquiry,Just reaching out — not urgent. Wanted to share some feedback on the recent update.,solved,false
TKT-20153,C-33934,2026-06-08T13:10:00,phone,en,Add CSV export,Would love to see this added — it would save our team several hours per week. Happy to beta test.,open,false
TKT-20154,C-48382,2026-06-15T19:11:00,email,fr,Réinitialisation mot de passe,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20155,C-19169,2026-06-06T13:41:00,phone,en,Invoice not received,I was charged 348 but my order total was 245. Please investigate and refund the difference.,open,false
TKT-20156,C-33337,2026-07-16T08:35:00,chat,fr,Supprimer mon compte,Je suis bloqué et l'email de réinitialisation n'arrive jamais. J'ai essayé plusieurs fois. Très frustré.,open,false
TKT-20157,C-25544,2026-07-25T08:30:00,chat,fr,Question générale,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,open,false
TKT-20158,C-21582,2026-07-28T19:47:00,in_app,en,Delete my account,I'm locked out and the password reset email never arrives. Tried multiple times. Very frustrated.,solved,false
TKT-20159,C-14060,2026-07-16T12:54:00,in_app,fr,Paiement échoue sur mobile,Quand je clique sur payer le loader tourne indéfiniment sur Chrome/Safari. Erreur 500 dans la console.,solved,true
TKT-20160,C-12702,2026-06-17T17:06:00,phone,en,Wrong amount charged,I was charged 64 but my order total was 187. Please investigate and refund the difference.,open,false
TKT-20161,C-22847,2026-06-12T17:51:00,chat,fr,Édition en masse du stock,Ce serait super d'ajouter ça — ça nous ferait gagner plusieurs heures par semaine. Prêt pour la bêta.,open,false
TKT-20162,C-12568,2026-06-08T20:44:00,in_app,fr,Demande de partenariat,Je vous contacte — pas urgent. Je voulais partager un retour sur la dernière mise à jour.,pending,false
TKT-20163,C-40212,2026-06-29T11:56:00,chat,en,Feedback,Just reaching out — not urgent. Wanted to share some feedback on the recent update.,open,false
TKT-20164,C-21871,2026-07-20T16:10:00,in_app,en,Add CSV export,Would love to see this added — it would save our team several hours per week. Happy to beta test.,pending,false
TKT-20165,C-39719,2026-07-11T17:05:00,in_app,en,Damaged on arrival,My order #56239 was supposed to arrive on 2026-07-20 but it's now 8 days late. Status still says 'in transit'.,pending,false
TKT-20166,C-24928,2026-07-16T09:04:00,email,en,Wrong item delivered,My order #57091 was supposed to arrive on 2026-07-20 but it's now 7 days late. Status still says 'in transit'.,open,false
TKT-20167,C-18997,2026-06-22T20:50:00,in_app,fr,Facturation erronée,J'ai été facturé 75€ alors que le total était de 139€. Merci d'examiner et de rembourser.,pending,false
