event_date,page_path,country,device,sessions,pageviews,bounce_rate,avg_session_sec
2026-06-03,/contact,UK,desktop,146,227,29.69,102.73
2026-06-03,/contact,UK,mobile,113,148,53.73,152.39
2026-06-03,/contact,UK,tablet,23,32,54.98,204.76
2026-06-03,/contact,US,desktop,115,214,31.64,258.58
2026-06-03,/contact,US,mobile,97,135,46.99,256.36
2026-06-03,/contact,US,tablet,23,30,58.11,133.66
2026-06-03,/signup,FR,desktop,186,346,61.52,95.84
2026-06-03,/signup,FR,mobile,192,258,39.13,138.34
2026-06-03,/signup,FR,tablet,40,71,36.39,164.68
2026-06-03,/signup,EU,desktop,201,378,50.81,220.26
2026-06-03,/signup,EU,mobile,149,233,31.49,185.41
2026-06-03,/signup,EU,tablet,39,60,60.90,60.87
2026-06-03,/signup,UK,desktop,209,436,38.68,241.15
2026-06-03,/signup,UK,mobile,171,330,48.03,179.16
2026-06-03,/signup,UK,tablet,36,60,55.72,140.94
2026-06-03,/signup,US,desktop,169,313,41.67,156.72
2026-06-03,/signup,US,mobile,162,291,53.97,154.27
2026-06-03,/signup,US,tablet,35,62,47.07,265.68
2026-06-04,/,FR,desktop,547,948,45.23,216.00
2026-06-04,/,FR,mobile,388,494,38.85,232.77
2026-06-04,/,FR,tablet,103,129,34.84,231.73
2026-06-04,/,EU,desktop,563,1005,51.18,171.18
2026-06-04,/,EU,mobile,506,735,49.86,198.48
2026-06-04,/,EU,tablet,101,172,60.41,142.95
2026-06-04,/,UK,desktop,481,903,40.46,95.93
2026-06-04,/,UK,mobile,466,625,31.41,316.01
2026-06-04,/,UK,tablet,102,152,56.57,71.90
2026-06-04,/,US,desktop,456,730,58.06,213.75
2026-06-04,/,US,mobile,442,822,59.74,215.00
2026-06-04,/,US,tablet,92,170,51.16,117.14
2026-06-04,/pricing,FR,desktop,301,386,37.00,187.19
2026-06-04,/pricing,FR,mobile,320,554,58.16,170.76
2026-06-04,/pricing,FR,tablet,56,110,51.50,279.14
2026-06-04,/pricing,EU,desktop,310,465,38.72,293.19
2026-06-04,/pricing,EU,mobile,305,415,49.99,89.45
2026-06-04,/pricing,EU,tablet,66,116,28.93,115.82
2026-06-04,/pricing,UK,desktop,286,395,54.78,124.55
2026-06-04,/pricing,UK,mobile,265,420,29.48,227.61
2026-06-04,/pricing,UK,tablet,57,86,51.21,156.15
2026-06-04,/pricing,US,desktop,322,416,56.51,290.94
2026-06-04,/pricing,US,mobile,247,439,44.28,264.29
2026-06-04,/pricing,US,tablet,59,118,50.89,304.01
2026-06-04,/product,FR,desktop,401,632,36.17,254.81
2026-06-04,/product,FR,mobile,325,563,29.11,181.76
2026-06-04,/product,FR,tablet,58,93,51.65,65.36
2026-06-04,/product,EU,desktop,382,482,48.98,230.99
2026-06-04,/product,EU,mobile,277,467,46.56,87.86
2026-06-04,/product,EU,tablet,58,111,61.32,193.59
2026-06-04,/product,UK,desktop,336,703,50.16,287.89
2026-06-04,/product,UK,mobile,264,404,43.93,77.82
2026-06-04,/product,UK,tablet,66,87,47.13,232.66
2026-06-04,/product,US,desktop,303,373,37.23,112.97
2026-06-04,/product,US,mobile,267,532,57.58,266.44
2026-06-04,/product,US,tablet,56,87,39.01,290.09
2026-06-04,/docs,FR,desktop,227,390,54.64,132.62
2026-06-04,/docs,FR,mobile,211,343,60.17,222.21
2026-06-04,/docs,FR,tablet,39,54,30.58,312.93
2026-06-04,/docs,EU,desktop,246,388,58.71,199.64
2026-06-04,/docs,EU,mobile,199,373,35.20,223.99
2026-06-04,/docs,EU,tablet,47,66,56.60,276.24
2026-06-04,/docs,UK,desktop,250,510,61.53,114.70
2026-06-04,/docs,UK,mobile,199,379,59.91,185.46
2026-06-04,/docs,UK,tablet,42,87,50.11,214.50
2026-06-04,/docs,US,desktop,233,428,48.11,126.75
2026-06-04,/docs,US,mobile,201,321,43.21,206.92
2026-06-04,/docs,US,tablet,41,51,45.20,155.74
2026-06-04,/blog/launch,FR,desktop,171,263,54.95,150.51
2026-06-04,/blog/launch,FR,mobile,131,184,38.13,130.31
2026-06-04,/blog/launch,FR,tablet,28,44,58.36,277.98
2026-06-04,/blog/launch,EU,desktop,166,345,55.41,83.17
2026-06-04,/blog/launch,EU,mobile,125,156,54.58,192.74
2026-06-04,/blog/launch,EU,tablet,26,53,56.73,266.92
2026-06-04,/blog/launch,UK,desktop,176,225,51.43,107.53
2026-06-04,/blog/launch,UK,mobile,124,203,58.64,281.30
2026-06-04,/blog/launch,UK,tablet,28,42,34.17,303.43
2026-06-04,/blog/launch,US,desktop,151,221,35.58,142.31
2026-06-04,/blog/launch,US,mobile,151,204,32.75,115.86
2026-06-04,/blog/launch,US,tablet,33,42,44.61,159.58
2026-06-04,/contact,FR,desktop,138,177,38.17,275.47
2026-06-04,/contact,FR,mobile,119,201,36.98,229.13
2026-06-04,/contact,FR,tablet,21,40,53.23,171.97
2026-06-04,/contact,EU,desktop,130,162,29.98,148.29
2026-06-04,/contact,EU,mobile,108,140,35.20,180.04
2026-06-04,/contact,EU,tablet,25,36,45.43,214.11
2026-06-04,/contact,UK,desktop,136,251,55.61,164.92
2026-06-04,/contact,UK,mobile,105,157,31.09,285.32
2026-06-04,/contact,UK,tablet,26,34,56.90,216.41
2026-06-04,/contact,US,desktop,131,177,43.61,70.01
2026-06-04,/contact,US,mobile,123,200,52.72,98.40
2026-06-04,/contact,US,tablet,24,36,35.46,268.18
2026-06-04,/signup,FR,desktop,182,278,34.64,99.62
2026-06-04,/signup,FR,mobile,158,193,61.49,250.37
2026-06-04,/signup,FR,tablet,36,71,51.38,127.69
2026-06-04,/signup,EU,desktop,173,324,41.25,211.31
2026-06-04,/signup,EU,mobile,191,268,45.02,128.20
2026-06-04,/signup,EU,tablet,38,78,47.93,253.85
2026-06-04,/signup,UK,desktop,166,346,52.19,262.38
2026-06-04,/signup,UK,mobile,165,199,44.50,113.34
2026-06-04,/signup,UK,tablet,40,54,49.55,245.77
2026-06-04,/signup,US,desktop,198,358,30.03,205.85
2026-06-04,/signup,US,mobile,177,296,57.06,149.74
2026-06-04,/signup,US,tablet,34,59,53.73,223.53
2026-06-05,/,FR,desktop,564,828,52.02,227.43
2026-06-05,/,FR,mobile,503,666,47.30,303.26
2026-06-05,/,FR,tablet,107,197,48.81,232.69
2026-06-05,/,EU,desktop,497,844,30.10,72.20
2026-06-05,/,EU,mobile,402,824,41.54,229.15
2026-06-05,/,EU,tablet,98,132,48.00,174.04
2026-06-05,/,UK,desktop,500,1028,48.68,175.37
2026-06-05,/,UK,mobile,392,623,58.23,199.07
2026-06-05,/,UK,tablet,92,176,49.52,313.89
2026-06-05,/,US,desktop,586,947,60.73,303.77
2026-06-05,/,US,mobile,497,761,58.38,317.95
2026-06-05,/,US,tablet,97,133,36.91,202.92
2026-06-05,/pricing,FR,desktop,272,423,32.32,215.47
2026-06-05,/pricing,FR,mobile,265,385,58.17,185.47
2026-06-05,/pricing,FR,tablet,65,109,48.34,61.66
2026-06-05,/pricing,EU,desktop,288,595,41.72,207.41
2026-06-05,/pricing,EU,mobile,282,370,50.51,86.07
2026-06-05,/pricing,EU,tablet,60,102,46.17,116.90
2026-06-05,/pricing,UK,desktop,291,515,51.51,307.97
2026-06-05,/pricing,UK,mobile,251,435,42.90,200.69
2026-06-05,/pricing,UK,tablet,64,124,39.79,64.64
2026-06-05,/pricing,US,desktop,352,531,49.97,143.00
2026-06-05,/pricing,US,mobile,271,377,56.99,61.40
2026-06-05,/pricing,US,tablet,67,82,51.48,314.94
2026-06-05,/product,FR,desktop,301,602,37.28,88.57
2026-06-05,/product,FR,mobile,301,564,28.31,220.81
2026-06-05,/product,FR,tablet,57,72,45.90,176.00
2026-06-05,/product,EU,desktop,365,633,55.27,238.21
2026-06-05,/product,EU,mobile,289,516,37.56,177.41
2026-06-05,/product,EU,tablet,63,119,61.31,165.47
2026-06-05,/product,UK,desktop,381,589,29.20,160.28
2026-06-05,/product,UK,mobile,346,536,49.41,192.80
2026-06-05,/product,UK,tablet,73,104,52.43,141.69
2026-06-05,/product,US,desktop,331,537,42.14,69.10
2026-06-05,/product,US,mobile,307,383,38.57,174.93
2026-06-05,/product,US,tablet,74,128,45.77,214.44
2026-06-05,/docs,FR,desktop,252,430,31.72,187.60
2026-06-05,/docs,FR,mobile,191,243,39.41,190.46
2026-06-05,/docs,FR,tablet,41,52,38.89,70.49
2026-06-05,/docs,EU,desktop,249,464,31.71,95.03
2026-06-05,/docs,EU,mobile,224,302,52.23,111.10
2026-06-05,/docs,EU,tablet,37,45,49.42,83.77
2026-06-05,/docs,UK,desktop,236,475,55.76,141.10
2026-06-05,/docs,UK,mobile,201,348,54.97,73.55
2026-06-05,/docs,UK,tablet,35,71,55.91,305.64
2026-06-05,/docs,US,desktop,199,286,29.84,85.58
2026-06-05,/docs,US,mobile,209,277,35.56,316.77
2026-06-05,/docs,US,tablet,38,70,44.55,300.65
2026-06-05,/blog/launch,FR,desktop,166,284,40.42,258.75
2026-06-05,/blog/launch,FR,mobile,142,267,48.00,287.20
2026-06-05,/blog/launch,FR,tablet,25,50,33.32,290.61
2026-06-05,/blog/launch,EU,desktop,175,290,55.52,142.60
2026-06-05,/blog/launch,EU,mobile,125,211,47.80,213.85
2026-06-05,/blog/launch,EU,tablet,30,49,29.43,132.76
2026-06-05,/blog/launch,UK,desktop,177,365,48.26,228.85
2026-06-05,/blog/launch,UK,mobile,121,253,28.12,64.51
2026-06-05,/blog/launch,UK,tablet,34,52,31.88,209.36
2026-06-05,/blog/launch,US,desktop,158,190,43.32,254.71
2026-06-05,/blog/launch,US,mobile,128,226,61.06,314.47
2026-06-05,/blog/launch,US,tablet,31,51,57.19,82.48
2026-06-05,/contact,FR,desktop,143,231,52.82,204.55
2026-06-05,/contact,FR,mobile,114,165,40.44,151.79
2026-06-05,/contact,FR,tablet,25,36,59.66,233.89
2026-06-05,/contact,EU,desktop,114,150,37.13,139.21
2026-06-05,/contact,EU,mobile,120,200,58.70,210.97
2026-06-05,/contact,EU,tablet,23,42,33.62,304.45
2026-06-05,/contact,UK,desktop,130,267,37.73,95.52
2026-06-05,/contact,UK,mobile,96,170,47.23,135.31
2026-06-05,/contact,UK,tablet,25,37,61.26,275.91
2026-06-05,/contact,US,desktop,117,207,47.40,108.79
2026-06-05,/contact,US,mobile,125,203,46.86,184.71
2026-06-05,/contact,US,tablet,21,30,31.71,313.70
2026-06-05,/signup,FR,desktop,206,412,34.40,317.07
2026-06-05,/signup,FR,mobile,168,330,60.08,265.12
2026-06-05,/signup,FR,tablet,34,59,28.85,62.15
2026-06-05,/signup,EU,desktop,198,342,44.58,197.63
2026-06-05,/signup,EU,mobile,158,324,44.60,103.49
2026-06-05,/signup,EU,tablet,39,52,40.64,306.33
2026-06-05,/signup,UK,desktop,190,273,28.66,277.27
2026-06-05,/signup,UK,mobile,180,279,42.47,173.44
2026-06-05,/signup,UK,tablet,30,58,41.90,131.74
2026-06-05,/signup,US,desktop,171,241,52.51,62.51
2026-06-05,/signup,US,mobile,181,322,30.37,285.87
2026-06-05,/signup,US,tablet,34,63,53.85,263.09
2026-06-06,/,FR,desktop,316,504,60.11,182.16
2026-06-06,/,FR,mobile,347,677,30.82,99.70
2026-06-06,/,FR,tablet,73,142,49.91,190.14
2026-06-06,/,EU,desktop,395,608,33.41,219.27
2026-06-06,/,EU,mobile,350,446,57.77,293.82
2026-06-06,/,EU,tablet,61,82,41.19,260.30
2026-06-06,/,UK,desktop,344,548,42.77,69.58
2026-06-06,/,UK,mobile,309,404,49.28,262.93
2026-06-06,/,UK,tablet,74,97,53.64,259.30
2026-06-06,/,US,desktop,385,653,48.63,197.08
2026-06-06,/,US,mobile,350,498,52.41,94.86
2026-06-06,/,US,tablet,59,87,59.63,198.84
2026-06-06,/pricing,FR,desktop,207,393,30.65,307.71
2026-06-06,/pricing,FR,mobile,195,290,54.89,115.93
2026-06-06,/pricing,FR,tablet,47,76,31.20,135.60
2026-06-06,/pricing,EU,desktop,249,307,29.24,219.61
2026-06-06,/pricing,EU,mobile,196,264,38.09,260.07
2026-06-06,/pricing,EU,tablet,43,81,60.20,185.45
2026-06-06,/pricing,UK,desktop,206,416,58.16,115.06
2026-06-06,/pricing,UK,mobile,219,421,40.57,85.24
2026-06-06,/pricing,UK,tablet,42,79,30.85,140.80
2026-06-06,/pricing,US,desktop,248,466,61.01,285.05
2026-06-06,/pricing,US,mobile,167,338,58.74,128.39
2026-06-06,/pricing,US,tablet,45,90,52.92,164.50
2026-06-06,/product,FR,desktop,224,325,36.89,293.50
2026-06-06,/product,FR,mobile,192,256,52.38,284.51
2026-06-06,/product,FR,tablet,47,70,60.96,157.43
2026-06-06,/product,EU,desktop,249,320,54.52,105.90
2026-06-06,/product,EU,mobile,185,302,34.24,247.72
2026-06-06,/product,EU,tablet,39,60,60.96,239.73
2026-06-06,/product,UK,desktop,264,368,57.95,117.97
2026-06-06,/product,UK,mobile,228,274,41.94,122.12
2026-06-06,/product,UK,tablet,45,56,50.67,282.81
2026-06-06,/product,US,desktop,278,354,53.87,104.86
2026-06-06,/product,US,mobile,193,293,33.91,140.96
2026-06-06,/product,US,tablet,42,77,49.66,160.87
2026-06-06,/docs,FR,desktop,141,176,38.81,297.48
2026-06-06,/docs,FR,mobile,153,258,60.07,187.25
2026-06-06,/docs,FR,tablet,27,40,51.89,282.00
2026-06-06,/docs,EU,desktop,167,242,50.84,97.99
2026-06-06,/docs,EU,mobile,134,250,50.83,220.95
2026-06-06,/docs,EU,tablet,29,41,56.55,248.19
2026-06-06,/docs,UK,desktop,137,238,43.30,300.85
2026-06-06,/docs,UK,mobile,135,214,28.47,103.09
2026-06-06,/docs,UK,tablet,30,57,44.71,134.40
2026-06-06,/docs,US,desktop,154,223,57.86,276.83
2026-06-06,/docs,US,mobile,131,229,59.07,294.71
2026-06-06,/docs,US,tablet,29,45,54.67,192.74
2026-06-06,/blog/launch,FR,desktop,114,137,30.59,155.32
2026-06-06,/blog/launch,FR,mobile,108,222,54.52,170.67
2026-06-06,/blog/launch,FR,tablet,21,28,41.38,275.87
2026-06-06,/blog/launch,EU,desktop,119,207,38.76,82.58
2026-06-06,/blog/launch,EU,mobile,101,210,30.19,277.78
2026-06-06,/blog/launch,EU,tablet,19,35,52.21,248.02
2026-06-06,/blog/launch,UK,desktop,124,189,51.71,226.76
2026-06-06,/blog/launch,UK,mobile,109,195,31.64,60.21
2026-06-06,/blog/launch,UK,tablet,19,36,45.48,220.74
2026-06-06,/blog/launch,US,desktop,107,172,59.80,119.25
2026-06-06,/blog/launch,US,mobile,105,197,44.50,207.79
2026-06-06,/blog/launch,US,tablet,21,35,28.69,85.11
2026-06-06,/contact,FR,desktop,101,204,33.86,84.73
2026-06-06,/contact,FR,mobile,69,142,31.38,232.16
2026-06-06,/contact,FR,tablet,18,36,36.22,130.36
2026-06-06,/contact,EU,desktop,76,151,37.21,136.33
2026-06-06,/contact,EU,mobile,86,171,53.75,279.69
2026-06-06,/contact,EU,tablet,18,33,60.64,143.04
2026-06-06,/contact,UK,desktop,86,163,59.26,268.28
2026-06-06,/contact,UK,mobile,86,163,40.00,85.48
2026-06-06,/contact,UK,tablet,15,20,39.94,71.36
2026-06-06,/contact,US,desktop,91,173,59.17,116.36
2026-06-06,/contact,US,mobile,80,138,59.92,154.61
2026-06-06,/contact,US,tablet,16,27,44.44,237.53
2026-06-06,/signup,FR,desktop,143,221,33.72,276.25
2026-06-06,/signup,FR,mobile,127,193,59.85,126.74
2026-06-06,/signup,FR,tablet,25,36,55.63,300.60
2026-06-06,/signup,EU,desktop,114,219,41.93,69.17
2026-06-06,/signup,EU,mobile,129,164,61.09,267.56
2026-06-06,/signup,EU,tablet,23,36,32.90,166.50
2026-06-06,/signup,UK,desktop,147,187,56.77,256.78
2026-06-06,/signup,UK,mobile,102,186,37.28,89.47
2026-06-06,/signup,UK,tablet,27,44,46.06,271.39
2026-06-06,/signup,US,desktop,137,196,43.59,78.32
2026-06-06,/signup,US,mobile,103,191,41.80,60.74
2026-06-06,/signup,US,tablet,21,43,39.34,183.11
2026-06-07,/,FR,desktop,356,551,33.97,132.38
2026-06-07,/,FR,mobile,301,392,40.48,76.68
2026-06-07,/,FR,tablet,76,154,32.33,227.91
2026-06-07,/,EU,desktop,349,729,39.32,216.53
2026-06-07,/,EU,mobile,317,414,49.57,247.14
2026-06-07,/,EU,tablet,58,102,40.07,207.94
2026-06-07,/,UK,desktop,385,669,52.85,133.06
2026-06-07,/,UK,mobile,308,521,46.74,187.90
2026-06-07,/,UK,tablet,62,86,30.49,63.48
2026-06-07,/,US,desktop,334,615,52.19,92.21
2026-06-07,/,US,mobile,314,586,38.51,271.73
2026-06-07,/,US,tablet,63,130,52.63,247.47
2026-06-07,/pricing,FR,desktop,241,373,44.42,223.44
2026-06-07,/pricing,FR,mobile,182,255,33.10,193.26
2026-06-07,/pricing,FR,tablet,47,59,52.68,140.10
2026-06-07,/pricing,EU,desktop,248,321,45.62,76.62
2026-06-07,/pricing,EU,mobile,167,239,37.12,111.43
2026-06-07,/pricing,EU,tablet,39,69,43.74,302.26
2026-06-07,/pricing,UK,desktop,241,317,61.60,139.58
2026-06-07,/pricing,UK,mobile,179,356,58.70,286.83
2026-06-07,/pricing,UK,tablet,36,65,29.20,184.17
2026-06-07,/pricing,US,desktop,228,468,57.89,278.65
2026-06-07,/pricing,US,mobile,183,376,51.49,220.13
2026-06-07,/pricing,US,tablet,40,71,52.97,284.21
2026-06-07,/product,FR,desktop,228,357,39.87,148.47
2026-06-07,/product,FR,mobile,215,353,55.24,229.55
2026-06-07,/product,FR,tablet,42,59,55.20,263.34
2026-06-07,/product,EU,desktop,244,320,42.52,299.82
2026-06-07,/product,EU,mobile,215,402,47.11,249.14
2026-06-07,/product,EU,tablet,52,92,55.92,232.13
2026-06-07,/product,UK,desktop,212,374,44.15,317.90
2026-06-07,/product,UK,mobile,234,357,61.33,281.66
2026-06-07,/product,UK,tablet,41,69,42.73,111.34
2026-06-07,/product,US,desktop,217,295,51.09,73.95
2026-06-07,/product,US,mobile,218,390,36.27,134.00
2026-06-07,/product,US,tablet,39,53,34.11,223.10
2026-06-07,/docs,FR,desktop,151,259,33.14,249.71
2026-06-07,/docs,FR,mobile,147,193,35.54,171.63
2026-06-07,/docs,FR,tablet,27,40,33.19,239.00
2026-06-07,/docs,EU,desktop,157,248,55.53,185.90
2026-06-07,/docs,EU,mobile,141,275,45.48,87.54
2026-06-07,/docs,EU,tablet,31,43,54.06,173.61
2026-06-07,/docs,UK,desktop,174,320,32.34,299.67
2026-06-07,/docs,UK,mobile,146,275,42.52,111.07
2026-06-07,/docs,UK,tablet,25,33,45.59,150.92
2026-06-07,/docs,US,desktop,166,305,51.72,132.02
2026-06-07,/docs,US,mobile,139,211,40.07,319.80
2026-06-07,/docs,US,tablet,30,50,30.36,71.65
2026-06-07,/blog/launch,FR,desktop,124,213,31.69,216.94
2026-06-07,/blog/launch,FR,mobile,89,153,35.70,156.68
2026-06-07,/blog/launch,FR,tablet,19,26,57.47,146.28
2026-06-07,/blog/launch,EU,desktop,119,161,45.24,150.10
2026-06-07,/blog/launch,EU,mobile,90,151,49.46,62.31
2026-06-07,/blog/launch,EU,tablet,19,27,58.24,204.24
2026-06-07,/blog/launch,UK,desktop,117,151,30.67,232.02
2026-06-07,/blog/launch,UK,mobile,87,108,29.63,236.73
2026-06-07,/blog/launch,UK,tablet,18,31,50.25,223.02
2026-06-07,/blog/launch,US,desktop,125,174,48.20,240.66
2026-06-07,/blog/launch,US,mobile,84,115,31.84,155.64
2026-06-07,/blog/launch,US,tablet,22,34,60.53,290.03
2026-06-07,/contact,FR,desktop,77,101,36.98,69.34
2026-06-07,/contact,FR,mobile,72,124,45.61,201.76
2026-06-07,/contact,FR,tablet,15,31,37.94,92.73
2026-06-07,/contact,EU,desktop,100,194,31.87,90.88
2026-06-07,/contact,EU,mobile,69,95,34.24,229.35
2026-06-07,/contact,EU,tablet,18,23,60.70,224.80
2026-06-07,/contact,UK,desktop,98,133,44.30,157.74
2026-06-07,/contact,UK,mobile,83,126,47.38,107.16
2026-06-07,/contact,UK,tablet,19,27,33.26,313.80
2026-06-07,/contact,US,desktop,83,123,55.81,240.66
2026-06-07,/contact,US,mobile,77,131,44.05,105.01
2026-06-07,/contact,US,tablet,18,24,54.12,201.36
2026-06-07,/signup,FR,desktop,131,169,59.31,145.26
2026-06-07,/signup,FR,mobile,118,213,54.82,194.39
2026-06-07,/signup,FR,tablet,24,32,42.52,129.85
2026-06-07,/signup,EU,desktop,136,178,61.56,274.14
2026-06-07,/signup,EU,mobile,107,170,43.24,73.58
2026-06-07,/signup,EU,tablet,23,39,58.58,137.79
2026-06-07,/signup,UK,desktop,140,222,50.63,195.39
2026-06-07,/signup,UK,mobile,105,143,55.20,276.92
2026-06-07,/signup,UK,tablet,26,45,28.43,253.86
2026-06-07,/signup,US,desktop,150,264,36.75,144.90
2026-06-07,/signup,US,mobile,101,154,40.92,99.56
2026-06-07,/signup,US,tablet,24,36,47.99,310.65
2026-06-08,/,FR,desktop,520,678,51.60,103.12
2026-06-08,/,FR,mobile,504,836,53.05,252.09
2026-06-08,/,FR,tablet,99,149,49.42,250.05
2026-06-08,/,EU,desktop,582,989,45.46,258.80
2026-06-08,/,EU,mobile,457,734,56.11,122.02
2026-06-08,/,EU,tablet,90,188,41.11,148.62
2026-06-08,/,UK,desktop,560,920,42.63,305.09
2026-06-08,/,UK,mobile,397,723,31.46,184.43
2026-06-08,/,UK,tablet,103,134,39.20,293.26
2026-06-08,/,US,desktop,541,1014,40.44,241.25
2026-06-08,/,US,mobile,500,918,45.16,182.08
2026-06-08,/,US,tablet,107,211,46.92,316.26
2026-06-08,/pricing,FR,desktop,359,637,29.45,91.63
2026-06-08,/pricing,FR,mobile,321,520,51.92,131.13
2026-06-08,/pricing,FR,tablet,62,93,37.33,153.09
2026-06-08,/pricing,EU,desktop,276,560,57.21,303.04
2026-06-08,/pricing,EU,mobile,294,369,43.04,99.77
2026-06-08,/pricing,EU,tablet,60,89,41.52,289.90
2026-06-08,/pricing,UK,desktop,332,589,56.73,218.44
2026-06-08,/pricing,UK,mobile,267,516,36.05,63.95
2026-06-08,/pricing,UK,tablet,63,90,39.27,306.37
2026-06-08,/pricing,US,desktop,359,479,52.16,281.63
2026-06-08,/pricing,US,mobile,316,386,61.74,242.61
2026-06-08,/pricing,US,tablet,51,84,51.27,227.20
2026-06-08,/product,FR,desktop,377,515,60.49,299.64
2026-06-08,/product,FR,mobile,290,483,45.90,257.35
2026-06-08,/product,FR,tablet,74,140,53.85,121.51
2026-06-08,/product,EU,desktop,361,638,29.70,219.03
2026-06-08,/product,EU,mobile,342,561,52.34,245.84
2026-06-08,/product,EU,tablet,71,106,59.73,174.64
2026-06-08,/product,UK,desktop,342,428,50.61,226.75
2026-06-08,/product,UK,mobile,313,622,49.25,243.90
2026-06-08,/product,UK,tablet,67,131,42.37,272.18
2026-06-08,/product,US,desktop,366,556,44.91,87.10
2026-06-08,/product,US,mobile,298,612,61.97,141.93
2026-06-08,/product,US,tablet,56,98,60.27,278.84
2026-06-08,/docs,FR,desktop,233,414,29.35,228.21
2026-06-08,/docs,FR,mobile,182,379,47.63,77.73
2026-06-08,/docs,FR,tablet,42,77,52.22,126.96
2026-06-08,/docs,EU,desktop,198,318,37.96,219.48
2026-06-08,/docs,EU,mobile,167,342,37.29,218.84
2026-06-08,/docs,EU,tablet,44,65,56.91,247.60
2026-06-08,/docs,UK,desktop,211,351,56.92,315.35
2026-06-08,/docs,UK,mobile,172,256,31.76,106.78
2026-06-08,/docs,UK,tablet,43,82,37.38,66.68
2026-06-08,/docs,US,desktop,230,317,50.35,175.90
